con_level;con_description
5.1.1;Whether there exists an Information security policy, which is approved by the management, published and communicated as appropriate to all employees.
5.1.2;Whether the policy states management commitment and sets out the organizational approach to managing information security.
6.1.1;Whether management demonstrates active support for security measures within the organization. This can be done via clear direction, demonstrated commitment, explicit assignment and acknowledgement of information security responsibilities.
6.1.2;Whether information security activities are coordinated by representatives from diverse parts of the organization, with pertinent roles and responsibilities.  
6.1.3;Whether responsibilities for the protection of individual assets, and for carrying out specific security processes, were clearly identified and defined.
6.1.4;Whether management authorization process is defined and implemented for any new information processing facility within the organization. 
6.1.5;"Whether the organization’s need for Confidentiality or Non-Disclosure Agreement (NDA) for protection of information is clearly defined and regularly reviewed.
Does this address the requirement to protect the confidential information using legal enforceable terms?"
6.1.6;Whether there exists a procedure that describes when, and by whom: relevant authorities such as Law enforcement, fire department etc., should be contacted, and how the incident should be reported. 
6.1.7;Whether appropriate contacts with special interest groups or other specialist security forums, and professional associations are maintained. 
6.1.8;Whether the organization’s approach to managing information security, and its implementation, is reviewed independently at planned intervals, or when major changes to security implementation occur. 
6.2.1;Whether risks to the organization’s information and information processing facility, from a process involving external party access, is identified and appropriate control measures implemented before granting access. 
6.2.2;Whether all identified security requirements are fulfilled before granting customer access to the organization’s information or assets. 
6.2.3;Whether the agreement with third parties, involving accessing, processing, communicating or managing the organization’s information or information processing facility, or introducing products or services to information processing facility, complies with all appropriate security requirements.
7.1.1;Whether all assets are identified and an inventory or register is maintained with all the important assets. 
7.1.2;Whether each asset identified has an owner, a defined and agreed-upon security classification, and access restrictions that are periodically reviewed.
7.1.3;Whether regulations for acceptable use of information and assets associated with an information processing facility were identified, documented and implemented. 
7.2.1;Whether the information is classified in terms of its value, legal requirements, sensitivity and criticality to the organization.
7.2.2;Whether an appropriate set of procedures are defined for information labelling and handling, in accordance with the classification scheme adopted by the organization.
8.1.1;"Whether employee security roles and responsibilities, contractors and third party users were defined and documented in accordance with the organization’s information security policy. 
Were the roles and responsibilities defined and clearly communicated to job candidates during the pre-employment process?"
8.1.2;"Whether background verification checks for all candidates for employment, contractors, and third party users were carried out in accordance to the relevant regulations. 
Does the check include character reference, confirmation of claimed academic and professional qualifications and independent identity checks?"
8.1.3;"Whether employee, contractors and third party users are asked to sign confidentiality or non-disclosure agreement as a part of their initial terms and conditions of the employment contract.
Whether this agreement covers the information security responsibility of the organization and the employee, third party users and contractors. "
8.2.1;Whether the management requires employees, contractors and third party users to apply security in accordance with the established policies and procedures of the organization.
8.2.2;Whether all employees in the organization, and where relevant, contractors and third party users, receive appropriate security awareness training and regular updates in organizational policies and procedures as it pertains to their job function.
8.2.3;Whether there is a formal disciplinary process for the employees who have committed a security breach.
8.3.1;Whether responsibilities for performing employment termination, or change of employment, are clearly defined and assigned.
8.3.2;Whether there is a process in place that ensures all employees, contractors and third party users surrender all of the organization’s assets in their possession upon termination of their employment, contract or agreement.
8.3.3;Whether access rights of all employees, contractors and third party users, to information and information processing facilities, will be removed upon termination of their employment, contract or agreement, or will be adjusted upon change. 
9.1.1;"Whether a physical border security facility has been implemented to protect the information processing service. 
Some examples of such security facilities are card control entry gates, walls, manned reception, etc."
9.1.2;Whether entry controls are in place to allow only authorized personnel into various areas within the organization. 
9.1.3;Whether the rooms, which have the information processing service, are locked or have lockable cabinets or safes. 
9.1.4;Whether the physical protection against damage from fire, flood, earthquake, explosion, civil unrest and other forms of natural or man-made disaster should be designed and applied.
;Whether there is any potential threat from neighbouring premises.
9.1.5;Whether physical protection and guidelines for working in secure areas is designed and implemented. 
9.1.6;Whether the delivery, loading, and other areas where unauthorized persons may enter the premises are controlled, and information processing facilities are isolated, to avoid unauthorized access.
9.2.1;Whether the equipment is protected to reduce the risks from environmental threats and hazards, and opportunities for unauthorized access. 
9.2.2;"Whether the equipment is protected from power failures and other disruptions caused by failures in supporting utilities. 
Whether permanence of power supplies, such as a  multiple feed, an Uninterruptible Power Supply (ups), a backup generator, etc. are being utilized."
9.2.3;"Whether the power and telecommunications cable, carrying data or supporting information services, is protected from interception or damage. 
Whether there are any additional security controls in place for sensitive or critical information."
9.2.4;"Whether the equipment is correctly maintained to ensure its continued availability and integrity. 
Whether the equipment is maintained, as per the supplier’s recommended service intervals and specifications. 
Whether the maintenance is carried out only by authorized personnel.
Whether logs are maintained with all suspected or actual faults and all preventive and corrective measures. 
Whether appropriate controls are implemented while sending equipment off premises. 
Are the equipment covered by insurance and the insurance requirements satisfied?"
9.2.5;"Whether risks were assessed with regards to any equipment usage outside an organization’s premises, and mitigation controls implemented. 
Whether the usage of an information processing facility outside the organization has been authorized by the management. "
9.2.6;Whether all equipment, containing storage media, is checked to ensure that any sensitive information or licensed software is physically destroyed, or securely over-written, prior to disposal or reuse.
9.2.7;Whether any controls are in place so that equipment, information and software is not taken off-site without prior authorization.
10.1.1;"Whether the operating procedure is documented, maintained and available to all users who need it.
Whether such procedures are treated as formal documents, and therefore any changes made need management authorization."
10.1.2;Whether all changes to information processing facilities and systems are controlled.
10.1.3;Whether duties and areas of responsibility are separated, in order to reduce opportunities for unauthorized modification or misuse of information, or services.
10.1.4;Whether the development and testing facilities are isolated from operational facilities.  For example, development and production software should be run on different computers.  Where necessary, development and production networks should be kept separate from each other.
10.2.1;Whether measures are taken to ensure that the security controls, service definitions and delivery levels, included in the third party service delivery agreement, are implemented, operated and maintained by a third party. 
10.2.2;"Whether the services, reports and records provided by third party are regularly monitored and reviewed.
Whether audita are conducted on the above third party services, reports and records, on regular interval."
10.2.3;"Whether changes to provision of services, including maintaining and improving existing information security policies, procedures and controls, are managed.
Does this take into account criticality of business systems, processes involved and re-assessment of risks"
10.3.1;"Whether the capacity demands are monitored and projections of future capacity requirements are made, to ensure that adequate processing power and storage are available.
Example: Monitoring hard disk space, RAM and CPU on critical servers.   "
10.3.2;"Whether system acceptance criteria are established for new information systems, upgrades and new versions.
Whether suitable tests were carried out prior to acceptance."
10.4.1;Whether detection, prevention and recovery controls, to protect against malicious code and appropriate user awareness procedures, were developed and implemented.  
10.4.2;"Whether only authorized mobile code is used. 
Whether the configuration ensures that authorized mobile code operates according to security policy.
Whether execution of unauthorized mobile code is prevented. 
(Mobile code is software code that transfers from one computer to another computer and then executes automatically.  It performs a specific function with little or no user intervention.  Mobile code is associated with a number of middleware services.)"
10.5.1;"Whether back-ups of information and software is taken and tested regularly in accordance with the agreed backup policy.
Whether all essential information and software can be recovered following a disaster or media failure. "
10.6.1;"Whether the network is adequately managed and controlled, to protect from threats, and to maintain security for the systems and applications using the network, including the information in transit. 
Whether controls were implemented to ensure the security of the information in networks, and the protection of the connected services from threats, such as unauthorized access. "
10.6.2;"Whether security features, service levels and management requirements, of all network services, are identified and included in any network services agreement. 
Whether the ability of the network service provider, to manage agreed services in a secure way, is determined and regularly monitored, and the right to audit is agreed upon. "
10.7.1;"Whether procedures exist for management of removable media, such as tapes, disks, cassettes, memory cards, and reports.
Whether all procedures and authorization levels are clearly defined and documented."
10.7.2;Whether the media that are no longer required are disposed of securely and safely, as per formal procedures. 
10.7.3;"Whether a procedure exists for handling information storage. 
Does this procedure address issues, such as information protection, from unauthorized disclosure or misuse?"
10.7.4;Whether the system documentation is protected against unauthorized access. 
10.8.1;"Whether there is a formal exchange policy, procedure and control in place to ensure the protection of information.
 Does the procedure and control cover using electronic communication facilities for information exchange. "
10.8.2;"Whether agreements are established concerning exchange of information and software between the organization and external parties. 
Whether the security content of the agreement reflects the sensitivity of the business information involved."
10.8.3;Whether media containing information is protected against unauthorized access, misuse or corruption during transportation beyond the organization’s physical boundary.
10.8.4;"Whether the information involved in electronic messaging is well protected. 
(Electronic messaging includes but is not restricted to Email, Electronic Data Interchange, Instant Messaging)"
10.8.5;Whether policies and procedures are developed and enforced to protect information associated with the interconnection of business information systems. 
10.9.1;"Whether the information involved in electronic commerce passing over the public network is protected from fraudulent activity, contract dispute, and any unauthorized access or modification. 
Whether Security control such as application of cryptographic controls are taken into consideration. 
Whether electronic commerce arrangements between trading partners include a documented agreement, which commits both parties to the agreed terms of trading, including details of security issues. "
10.9.2;Whether information involved in online transactions is protected to prevent incomplete transmission, mis-routing, unauthorized message alteration, unauthorized disclosure, unauthorized message duplication or replay.  
10.9.3;Whether the integrity of the publicly available information is protected against any unauthorized modification.
10.10.1;"Whether audit logs recording user activities, exceptions, and information security events are produced and kept for an agreed period to assist in future investigations and access control monitoring.
Whether appropriate Privacy protection measures are considered in Audit log maintenance. "
10.10.2;"Whether procedures are developed and enforced for monitoring system use for information processing facility.  
Whether the results of the monitoring activity reviewed regularly.
Whether the level of monitoring required for individual information processing facility is determined by a risk assessment."
